,zip_code,CBSA Title,MSA_central_outlying,pct_black_alone,pop_black_alone,pct_below_poverty,pct_below_poverty_white_alone,pct_below_poverty_black_alone,pct_below_poverty_asian_alone,pct_below_poverty_hispanic,quartiles_pct_below_poverty,pct_change_16_to_21_pct_below_poverty_black_alone,pct_homeownership,pct_homeownership_white_alone,pct_homeownership_black_alone,pct_homeownership_asian_alone,pct_homeownership_hispanic,quartiles_pct_homeownership,pct_change_16_to_21_pct_homeownership_black_alone,Total_All_loans,Total_Female Owned_loans,Total_Male Owned_loans,Total_Unanswered_loans,White_All_loans,White_Female Owned_loans,White_Male Owned_loans,White_Unanswered_loans,Black_All_loans,Black_Female Owned_loans,Black_Male Owned_loans,Black_Unanswered_loans,Hispanic_All_loans,Hispanic_Female Owned_loans,Hispanic_Male Owned_loans,Hispanic_Unanswered_loans,Asian_All_loans,Asian_Female Owned_loans,Asian_Male Owned_loans,Asian_Unanswered_loans,Total_All_loan_amnt,Total_Female Owned_loan_amnt,Total_Male Owned_loan_amnt,Total_Unanswered_loan_amnt,White_All_loan_amnt,White_Female Owned_loan_amnt,White_Male Owned_loan_amnt,White_Unanswered_loan_amnt,Black_All_loan_amnt,Black_Female Owned_loan_amnt,Black_Male Owned_loan_amnt,Black_Unanswered_loan_amnt,Hispanic_All_loan_amnt,Hispanic_Female Owned_loan_amnt,Hispanic_Male Owned_loan_amnt,Hispanic_Unanswered_loan_amnt,Asian_All_loan_amnt,Asian_Female Owned_loan_amnt,Asian_Male Owned_loan_amnt,Asian_Unanswered_loan_amnt,pct_hh_with_broadband_internet_subscriptions,pct_hh_with_broadband_internet_subscriptions_white_alone,pct_hh_with_broadband_internet_subscriptions_black_alone,pct_hh_with_broadband_internet_subscriptions_asian_alone,pct_hh_with_broadband_internet_subscriptions_hispanic,quartiles_pct_hh_with_broadband_internet_subscriptions,pct_bach_degree_or_higher_white_alone,pct_bach_degree_or_higher_black_alone,pct_bach_degree_or_higher_asian_alone,pct_bach_degree_or_higher_hispanic,quartiles_pct_bach_degree_or_higher_white_alone,quartiles_pct_bach_degree_or_higher_black_alone,quartiles_pct_bach_degree_or_higher_asian_alone,quartiles_pct_bach_degree_or_higher_hispanic
484,38256,"Paris, TN",Central,0.8,24.0,12.8,13.0,0.0,0.0,10.0,51-75% of geographies,0.0,85.1,84.5,99.2,,99.2,51-75% of geographies,,154.0,8.0,24.0,122.0,14.0,2.0,12.0,,,,,,,,,,,,,,4480474.0,139844.0,378428.0,3962202.0,136084.0,7804.0,128280.0,,,,,,,,,,,,,,78.0,79.1,0.0,100.0,100.0,Bottom 25% of geographies,17.8,0.0,0.0,25.0,26-50% of geographies,Bottom 25% of geographies,Bottom 25% of geographies,51-75% of geographies
485,38257,"Union City, TN",Central,6.5,279.0,14.3,11.9,52.0,0.0,0.0,51-75% of geographies,24.2,73.1,77.0,41.4,,22.5,26-50% of geographies,-21.8,272.0,14.0,36.0,222.0,28.0,10.0,16.0,2.0,4.0,2.0,2.0,,,,,,,,,,13995830.0,132692.0,3923440.0,9939700.0,490495.0,126204.0,350989.0,13302.0,13460.0,4488.0,8974.0,,,,,,,,,,78.0,81.1,77.0,69.4,43.7,Bottom 25% of geographies,18.4,18.1,26.5,0.0,26-50% of geographies,51-75% of geographies,26-50% of geographies,Bottom 25% of geographies
486,38258,,Outlying,16.7,248.0,22.8,25.2,20.2,,61.1,Top 25% of geographies,0.7,82.6,82.3,84.4,,66.1,51-75% of geographies,12.5,80.0,4.0,22.0,54.0,10.0,4.0,6.0,,,,,,,,,,,,,,935274.0,38196.0,235268.0,661812.0,112738.0,38196.0,74542.0,,,,,,,,,,,,,,82.2,87.3,52.0,,97.8,26-50% of geographies,17.0,20.9,,0.0,26-50% of geographies,51-75% of geographies,,Bottom 25% of geographies
487,38259,"Dyersburg, TN",Central,1.0,8.0,28.3,28.9,0.0,0.0,0.0,Top 25% of geographies,-15.8,67.0,67.0,,83.8,,26-50% of geographies,,26.0,,,26.0,,,,,,,,,,,,,,,,,628220.0,,,628220.0,,,,,,,,,,,,,,,,,82.6,82.7,100.0,100.0,0.0,26-50% of geographies,8.3,0.0,50.0,0.0,Bottom 25% of geographies,Bottom 25% of geographies,51-75% of geographies,Bottom 25% of geographies
488,38260,"Union City, TN",Central,1.1,41.0,11.8,11.3,12.2,,13.1,51-75% of geographies,-35.6,78.1,78.4,,,28.4,51-75% of geographies,,244.0,12.0,42.0,190.0,38.0,8.0,30.0,,2.0,,2.0,,,,,,,,,,5095641.0,110416.0,788656.0,4196570.0,574986.0,57711.0,517276.0,,41666.0,,41666.0,,,,,,,,,,86.5,86.1,100.0,,100.0,26-50% of geographies,14.8,100.0,,38.7,26-50% of geographies,Top 25% of geographies,,Top 25% of geographies
489,38261,"Union City, TN",Central,17.7,2872.0,20.3,16.4,33.6,0.0,21.1,Top 25% of geographies,-11.5,56.8,64.3,30.2,90.9,69.2,Bottom 25% of geographies,6.5,1326.0,70.0,202.0,1054.0,126.0,24.0,94.0,8.0,34.0,14.0,20.0,,2.0,2.0,,,12.0,2.0,10.0,,91258274.0,1769710.0,18598865.0,70889698.0,4693535.0,249438.0,4104096.0,340000.0,878316.0,264144.0,614172.0,,181400.0,181400.0,,,750894.0,41666.0,709228.0,,84.8,86.4,83.5,100.0,59.1,26-50% of geographies,18.5,7.2,67.9,3.1,26-50% of geographies,26-50% of geographies,51-75% of geographies,26-50% of geographies
490,38301,"Jackson, TN",Central,52.4,18053.0,28.4,14.8,40.3,0.0,12.0,Top 25% of geographies,1.3,49.7,69.9,31.1,86.9,53.5,Bottom 25% of geographies,-5.8,2026.0,334.0,470.0,1222.0,190.0,44.0,136.0,10.0,250.0,152.0,98.0,,16.0,14.0,2.0,,12.0,,12.0,,119334159.0,7785122.0,22702163.0,88846872.0,9040564.0,1200790.0,7372856.0,466918.0,5776521.0,4005402.0,1771120.0,,201608.0,125178.0,76430.0,,188774.0,,188774.0,,82.4,88.4,76.2,100.0,98.2,26-50% of geographies,21.0,9.5,100.0,7.3,26-50% of geographies,26-50% of geographies,Top 25% of geographies,26-50% of geographies
491,38305,"Jackson, TN",Central,31.6,16410.0,15.7,9.8,22.4,20.4,45.8,51-75% of geographies,0.8,65.8,77.2,44.0,76.8,49.3,Bottom 25% of geographies,-3.0,4514.0,616.0,1082.0,2816.0,534.0,180.0,346.0,8.0,414.0,210.0,200.0,4.0,22.0,14.0,6.0,2.0,68.0,8.0,60.0,,272285624.0,27728826.0,55385507.0,189171292.0,28463110.0,8748140.0,19079998.0,634972.0,10141398.0,5628358.0,4453796.0,59246.0,911164.0,197598.0,50566.0,663000.0,3792324.0,196030.0,3596292.0,,90.7,93.0,85.1,99.1,89.1,51-75% of geographies,41.6,22.6,48.8,12.3,Top 25% of geographies,51-75% of geographies,51-75% of geographies,26-50% of geographies
492,38310,,Outlying,3.0,191.0,19.4,19.3,11.8,,0.0,Top 25% of geographies,-63.8,77.6,78.6,4.9,,100.0,26-50% of geographies,-95.1,346.0,36.0,134.0,176.0,60.0,10.0,48.0,2.0,2.0,,2.0,,,,,,,,,,24727754.0,2006332.0,13516984.0,9204438.0,6864146.0,568536.0,6253944.0,41666.0,20830.0,,20830.0,,,,,,,,,,87.7,87.2,98.9,,100.0,26-50% of geographies,13.3,75.0,,6.4,Bottom 25% of geographies,Top 25% of geographies,,26-50% of geographies
493,38311,,Outlying,5.0,37.0,8.1,8.5,0.0,,,26-50% of geographies,0.0,90.7,95.4,0.0,,,Top 25% of geographies,-100.0,82.0,4.0,16.0,62.0,16.0,4.0,10.0,2.0,,,,,,,,,,,,,877570.0,35344.0,356892.0,485334.0,171312.0,35344.0,126944.0,9024.0,,,,,,,,,,,,,85.0,89.5,0.0,,,26-50% of geographies,25.5,0.0,,,51-75% of geographies,Bottom 25% of geographies,,
